Loyalty#,Customer Lifetime Value,Income,TotalPointsAccumulated,TotalPointsRedeemed
106477,2487.26,28738.0,39976.72,0.0
106509,16727.77,30915.0,4115.3,0.0
106589,11638.9,25370.0,0.0,0.0
106592,11727.78,29879.0,35691.89,8105.0
106616,2560.69,30027.0,4504.0,0.0
106623,10827.87,62053.0,2634.0,0.0
106637,7455.36,74089.0,42475.87,23377.0
106689,2795.41,40516.0,31628.09,15638.1
106754,31864.86,23576.0,35746.08,18264.7
106757,21423.64,0.0,41400.4,0.0
106776,19357.8,25561.0,26029.56,11905.5
106838,7524.74,36580.0,31165.53,0.0
106839,6511.47,42602.0,56252.59,10499.4
106936,57520.5,48367.0,37810.17,10942.7
106946,7796.0,32169.0,60258.54,32141.1
106964,5568.95,0.0,5803.0,4149.0
106978,3455.23,68401.0,47636.93,5684.8
106979,14083.97,74916.0,29777.27,23546.7
107037,17732.46,42191.0,22960.24,5595.0
107067,5137.35,93872.0,47887.51,23563.8
107119,17684.65,82667.0,42817.36,10102.4
107141,7292.91,0.0,37693.8,18787.0
107203,3044.79,17489.0,50885.54,9084.0
107212,6842.58,25259.0,38225.07,24559.4
107296,21892.94,58149.0,19667.82,9851.5
107385,7155.47,76506.0,18097.18,11122.0
107420,15771.39,21921.0,17207.95,5690.0
107461,2519.92,0.0,39805.12,8570.9
107466,4285.58,47823.0,38996.66,3958.0
107487,7805.31,21073.0,16990.05,2923.0
107519,5470.06,54507.0,16796.0,4043.0
107571,7486.09,0.0,34085.4,14335.7
107649,5879.18,85857.0,47519.3,16887.5
107719,2345.08,0.0,45843.81,12791.0
107730,26511.6,28773.0,23408.77,9288.0
107835,3495.89,10275.0,4132.0,3341.0
107902,4369.5,97321.0,29673.03,8168.1
107993,23740.12,28025.0,34395.8,0.0
108264,2515.41,39718.0,54824.13,29763.6
108346,4854.75,29834.0,7610.0,0.0
108367,3528.04,31278.0,23958.46,0.0
108381,3289.13,21947.0,52884.17,20590.3
108430,30081.37,24626.0,43618.22,4903.9
108440,7842.87,94263.0,31353.78,6821.0
108462,8186.1,43877.0,48221.05,21234.9
108481,11633.58,39669.0,0.0,0.0
108528,7858.11,28937.0,44672.56,4909.0
108625,15470.6,68086.0,47537.85,14155.0
108666,12036.62,44428.0,24983.69,18621.2
108857,5719.09,77601.0,8036.99,10549.9
108896,32196.6,91375.0,20648.55,0.0
108907,2337.36,0.0,45123.01,18347.2
109022,2991.42,35605.0,28443.88,3605.0
109023,6005.85,13528.0,21905.53,25591.1
109029,5812.0,58643.0,974.0,0.0
109203,8092.88,50825.0,24847.96,3390.0
109399,4376.08,0.0,35254.82,0.0
109478,20998.26,71663.0,33860.12,8973.7
109495,11218.44,69268.0,41124.46,3616.0
109517,21295.51,0.0,36801.52,12756.2
109552,14166.2,67588.0,35168.48,0.0
109612,6827.18,0.0,11110.13,5577.0
109660,3543.23,35695.0,51196.36,16483.5
109767,3886.65,78108.0,51440.4,22943.8
109840,4916.37,66982.0,33532.99,8179.5
109896,3884.86,0.0,32198.1,6058.0
109903,5107.16,35625.0,45906.82,17369.8
109956,5137.85,78460.0,29298.1,0.0
110001,8173.5,68144.0,35258.21,15946.7
110030,3387.78,23156.0,18200.36,0.0
110065,13432.0,68956.0,9524.0,0.0
110073,8364.56,72117.0,0.0,0.0
110099,4731.84,0.0,46455.13,19479.8
110142,4866.65,0.0,10840.0,2513.0
110170,5532.46,29084.0,12485.0,4249.0
110211,12036.62,44428.0,29168.51,0.0
110262,9427.68,27824.0,20646.83,6307.0
110296,2396.22,0.0,30035.36,3929.0
110394,2565.12,68321.0,43377.73,9117.0
110422,2414.77,0.0,8450.0,0.0
110476,6098.46,74257.0,44784.5,24778.5
110603,5246.28,28909.0,0.0,0.0
110678,3933.81,25927.0,37475.15,6320.0
110691,4722.24,0.0,30513.4,7729.2
110752,5154.05,55645.0,49795.82,3205.0
111022,14635.45,0.0,30145.47,17005.0
111034,11790.5,25251.0,38662.82,16266.4
111171,4628.28,0.0,30066.74,6581.0
111176,4568.82,0.0,45377.64,19841.7
111255,4122.96,24732.0,52784.63,0.0
111286,10382.38,32821.0,45220.57,2492.0
111329,3585.94,25748.0,31374.71,26268.1
111387,5793.16,95733.0,0.0,0.0
111485,2989.96,79867.0,54693.33,30089.4
111507,17556.99,36212.0,36155.36,23930.0
111573,14349.86,73222.0,38730.81,5006.0
111584,4163.79,11689.0,21756.46,15113.4
111646,5015.01,48567.0,18471.89,13411.7
111788,4935.19,29560.0,54957.44,16915.5
111899,13021.09,0.0,17087.86,15314.0
111912,5592.46,62229.0,48821.97,9900.9
112026,9670.18,20942.0,37694.2,15150.6
112142,16272.74,83589.0,48193.34,11896.1
112226,4686.47,58089.0,32988.31,11304.0
112393,6763.18,0.0,45240.47,33546.4
112522,5636.74,24516.0,36606.01,8728.6
112632,9006.6,0.0,29241.92,10744.5
112661,4523.75,74935.0,12267.39,9359.4
112678,35537.85,0.0,32729.68,17155.1
112709,4834.4,11698.0,34737.37,0.0
112732,8360.15,48521.0,50122.79,9497.0
112733,3353.38,63398.0,44744.11,0.0
112797,13345.14,80277.0,0.0,0.0
112842,6217.26,0.0,31038.74,10125.0
112856,26199.53,20346.0,44651.14,27906.5
112863,16107.19,63288.0,36473.78,20907.8
112894,10221.81,0.0,0.0,0.0
113040,8427.17,46503.0,38209.68,0.0
113184,2859.8,98879.0,7503.0,0.0
113220,7986.19,74217.0,31355.06,18003.5
113293,18370.57,49659.0,3732.0,0.0
113316,5282.54,38606.0,12959.0,4611.0
113363,2760.95,34717.0,20588.7,0.0
113442,2962.98,71809.0,3725.0,0.0
113476,9420.97,47048.0,47039.33,8973.7
113529,5953.21,61006.0,6120.0,0.0
113558,6444.08,46750.0,48043.65,13604.0
113578,2542.85,37072.0,10215.75,0.0
113656,11618.56,27750.0,0.0,0.0
113679,10634.84,0.0,46275.69,4900.1
113694,4890.11,0.0,39478.42,32167.8
113755,3633.05,43334.0,32533.48,3674.0
113779,25640.24,24695.0,43468.04,8044.6
113804,3173.03,0.0,30096.35,14844.5
113831,3605.86,21585.0,48742.64,7140.2
113839,3839.61,0.0,30255.27,7317.0
113861,2409.37,0.0,22017.4,6128.0
113864,8652.65,65605.0,19321.5,8042.7
113874,2894.24,0.0,13282.0,0.0
113877,9575.76,0.0,54192.85,6674.0
113904,26453.94,42961.0,39105.57,11734.6
113919,5614.59,40417.0,34091.82,9810.0
114018,9120.07,63878.0,43583.84,3850.0
114021,5326.68,76717.0,44052.97,10668.5
114131,5389.5,66429.0,10772.0,3486.0
114214,2554.55,0.0,13478.57,0.0
114219,5479.56,56005.0,47479.13,11218.7
114242,5914.95,50217.0,30368.35,14531.2
114307,9863.5,99654.0,44089.25,10681.8
114399,15994.01,0.0,1533.0,0.0
114414,3591.07,0.0,77073.14,2686.0
114493,6063.2,20676.0,30431.64,10767.3
114553,3703.93,21975.0,53604.04,10274.9
114638,2152.08,0.0,35830.65,3988.0
114700,7155.34,16916.0,13999.0,0.0
114743,4966.77,38055.0,21500.71,4284.0
114835,4001.52,19782.0,35028.88,0.0
114857,13355.49,34495.0,47056.08,4346.0
114903,9767.94,36225.0,44017.13,3641.0
114924,5037.95,0.0,12256.49,0.0
114927,3013.44,21353.0,27926.46,19400.9
114983,5601.68,11920.0,24441.99,0.0
115198,3469.84,32714.0,0.0,0.0
115322,8257.67,23815.0,56388.04,11024.0
115354,6297.0,0.0,49006.7,19042.7
115405,4637.16,25816.0,38347.5,21139.2
115427,8685.92,87544.0,56811.34,10275.3
115505,5860.17,94527.0,7641.0,0.0
115529,8382.63,19683.0,40228.12,3128.0
115633,9685.54,66022.0,42440.64,2829.0
115705,17435.68,54105.0,51530.96,15044.2
115749,6650.82,99494.0,10449.0,0.0
115805,6781.13,30324.0,38603.04,16664.1
115852,40688.53,37455.0,33955.63,0.0
116016,9118.93,33882.0,38612.78,9142.0
116045,11308.47,0.0,50291.59,5445.4
116164,8170.62,95241.0,16331.0,12258.0
116207,6625.29,41460.0,17607.65,0.0
116238,25464.82,13663.0,6771.0,6798.0
116288,2497.46,24825.0,20059.87,8539.0
116332,9386.75,42090.0,39082.09,13509.0
116372,8886.61,87094.0,41797.82,5533.0
116562,13235.54,39778.0,8027.0,4323.0
116703,2702.38,46370.0,28509.36,15803.3
116732,13681.71,55588.0,18928.0,5600.0
116735,27443.47,82320.0,38276.36,17649.9
116895,19378.91,21159.0,7574.0,4010.0
116897,3683.79,0.0,2664.0,10266.0
116932,14435.66,70600.0,29202.14,19855.2
116948,4349.31,75648.0,14575.4,11836.0
116999,14228.23,31650.0,36629.87,0.0
117033,5657.81,23550.0,38230.38,7649.0
117053,15118.9,58883.0,44745.24,15678.8
117169,8417.1,31756.0,36535.37,3769.0
117219,2750.71,51789.0,56691.83,21898.3
117240,8476.08,28181.0,15737.0,0.0
117333,23813.52,88680.0,40966.95,17730.3
117342,8400.79,20870.0,36386.81,11679.6
117351,7675.87,89586.0,0.0,0.0
117358,6770.31,74422.0,714.0,0.0
117408,5099.51,0.0,40952.02,0.0
117456,5170.03,0.0,42386.85,11327.0
117460,8203.22,38595.0,29125.13,15403.2
117482,2869.74,21234.0,41005.45,4138.0
117618,4082.7,23206.0,28405.38,18696.0
117725,7286.79,65870.0,0.0,0.0
117782,23207.25,89918.0,49171.63,20024.1
117832,8520.15,0.0,0.0,0.0
117910,9732.58,38279.0,35910.08,0.0
117915,2605.57,60252.0,18180.0,0.0
117932,5608.32,67176.0,23977.41,8928.1
117939,20294.39,0.0,3480.7,0.0
117975,2393.92,0.0,3126.04,0.0
118076,5176.16,91475.0,51914.55,17854.4
118298,8482.46,29628.0,0.0,0.0
118320,8005.96,63357.0,47098.77,18519.5
118332,5514.34,23218.0,53769.93,6632.0
118355,2395.57,21986.0,23652.71,4176.0
118365,5838.9,81082.0,36584.23,10277.1
118376,20455.25,0.0,6936.0,3919.0
118379,6775.92,27354.0,48176.48,0.0
118418,5442.74,25884.0,43376.81,11293.9
118511,5350.0,89158.0,3347.16,0.0
118514,9393.97,39770.0,4649.0,0.0
118612,7868.81,0.0,20087.27,0.0
118628,2715.69,20848.0,32104.64,6137.0
118632,5308.25,0.0,39804.57,3702.0
118675,8708.28,30090.0,47167.44,0.0
118688,5348.3,31572.0,0.0,0.0
118729,2691.6,33104.0,13035.25,0.0
118864,44771.3,0.0,36244.49,0.0
119009,7988.51,58268.0,46713.04,0.0
119015,8010.97,52009.0,10464.0,0.0
119135,2496.17,49136.0,42128.88,22048.6
119198,2659.71,0.0,51638.38,6488.5
119200,3903.8,51833.0,27176.13,8116.0
119408,4760.94,0.0,2530.0,0.0
119460,8047.41,29808.0,44065.71,5841.0
119488,4108.26,0.0,26902.83,0.0
119519,4874.67,67467.0,40053.68,11596.0
119633,7256.58,29053.0,28280.37,12093.5
119634,2300.69,25905.0,47813.27,0.0
119638,6409.63,0.0,11105.0,0.0
119690,9837.51,55099.0,3894.0,0.0
119731,10103.66,46667.0,42691.06,29944.6
119837,4774.75,0.0,46683.14,19089.8
119845,2588.86,46168.0,38496.15,2530.0
119917,3508.57,20978.0,0.0,0.0
119997,2514.28,24744.0,47926.66,15089.7
120046,4314.17,33488.0,29040.82,11190.0
120126,8098.97,0.0,29421.03,8165.0
120140,6721.89,36510.0,38975.21,11153.6
120164,13024.13,0.0,46648.87,8951.0
120192,9701.03,45668.0,41950.13,16598.6
120206,8819.02,99845.0,0.0,0.0
120393,2453.57,29735.0,38479.31,17075.6
120434,7611.95,90252.0,31587.42,13303.8
120554,4055.4,0.0,47682.31,24572.3
120583,7539.6,0.0,43225.86,15926.2
120594,5994.23,41859.0,54475.67,16745.1
120613,4466.1,0.0,29153.06,18288.0
120635,24636.97,73716.0,0.0,0.0
120799,5678.05,0.0,21674.26,7281.0
120868,6862.87,56779.0,33451.41,7437.0
121068,5979.72,57693.0,43453.03,26775.4
121095,5148.65,51071.0,48426.58,4168.0
121139,14435.67,60880.0,28651.33,15833.4
121183,7427.5,28848.0,39180.1,0.0
121236,4984.62,86305.0,10479.94,15830.8
121351,28421.57,42803.0,27597.27,0.0
121410,3781.69,46573.0,45589.53,21695.0
121469,5890.53,76875.0,0.0,0.0
121605,9710.29,33190.0,43789.25,6165.5
121710,5639.94,73168.0,42107.93,13495.0
121737,8960.28,71943.0,12600.13,8018.3
121751,4743.62,70082.0,2828.0,3049.0
121856,22658.54,23665.0,21462.71,0.0
121919,7764.27,58419.0,17824.04,11791.3
121930,10629.22,36495.0,684.0,0.0
121935,4878.83,29950.0,25641.88,3224.0
121999,4298.38,31414.0,0.0,0.0
122009,4035.68,21359.0,24690.0,8672.2
122020,7822.3,33963.0,42695.04,48555.3
122049,3794.96,19794.0,39460.37,11097.9
122094,2726.39,48039.0,37281.54,19733.4
122166,5737.23,56455.0,33706.49,6924.0
122173,16973.74,69497.0,0.0,0.0
122206,2771.05,50071.0,0.0,0.0
122283,10899.3,58518.0,21994.82,24038.8
122357,22399.13,78494.0,36211.53,0.0
122456,6915.73,96610.0,35209.5,12517.2
122517,5166.19,80797.0,1875.75,0.0
122519,30081.37,24626.0,47153.09,26086.5
122545,9490.41,0.0,33405.92,10350.0
122561,8972.14,89689.0,7691.0,0.0
122577,3791.55,41212.0,25140.46,9156.1
122685,3314.55,63583.0,41373.79,8259.0
122797,5946.67,81139.0,7759.0,0.0
122858,3746.75,41479.0,8133.0,2660.0
122890,7785.0,44897.0,43036.36,6923.6
122946,5505.69,95766.0,29151.49,0.0
122958,4430.57,24059.0,51448.99,21977.8
123060,5010.45,10892.0,52946.25,6330.8
123083,5548.03,67798.0,53544.79,11327.8
123094,4103.85,82427.0,14416.0,2538.0
123115,8646.5,64125.0,46443.19,27537.1
123151,21578.86,0.0,0.0,0.0
123164,5619.69,0.0,34132.7,7090.8
123344,9102.9,73759.0,33442.59,28664.2
123393,5963.82,94115.0,23552.91,0.0
123420,9540.92,53351.0,43728.4,14105.9
123525,41787.9,46587.0,42425.82,7077.5
123538,7180.97,42303.0,0.0,0.0
123586,2813.51,50397.0,31520.63,15355.8
123667,2393.81,58237.0,38820.88,11468.4
123668,10387.25,24392.0,48873.72,19900.0
123697,2767.59,0.0,36321.0,0.0
123702,2449.79,44662.0,29561.49,11337.1
123727,22721.24,26900.0,12477.0,4323.0
123773,7094.16,72878.0,51747.62,2782.0
123780,2509.51,0.0,0.0,0.0
123784,8658.86,62464.0,0.0,0.0
123830,5674.14,65775.0,4676.53,13790.2
123908,3383.45,0.0,37325.3,7053.6
123928,4624.56,28264.0,0.0,0.0
123944,7451.48,26239.0,17943.04,4520.1
124038,12302.76,43817.0,38346.44,5405.5
124056,12036.62,44428.0,37528.23,8128.2
124085,2725.32,45025.0,23380.56,7358.7
124088,13770.98,59207.0,32425.05,0.0
124119,11413.44,0.0,38683.84,4693.0
124195,3910.7,58713.0,6654.0,0.0
124207,7294.4,83488.0,5095.0,0.0
124351,4774.38,0.0,23615.44,8430.3
124355,4115.58,52405.0,37146.52,10094.0
124377,8175.32,0.0,4402.0,0.0
124536,3478.89,29938.0,0.0,0.0
124678,3954.34,18375.0,42311.52,4252.2
124761,10546.66,43922.0,44830.28,0.0
124931,13297.71,50631.0,0.0,0.0
124987,4666.64,60466.0,0.0,0.0
125059,5528.21,36088.0,2490.0,0.0
125068,4064.18,26599.0,12926.0,3424.0
125300,5583.58,76927.0,44238.24,13718.0
125393,15120.21,20656.0,30343.27,23290.2
125493,16727.77,30915.0,2341.0,0.0
125606,8826.61,26320.0,1421.0,0.0
125919,6689.02,56980.0,33288.92,4271.0
125969,2694.6,26744.0,49203.78,8884.4
125996,4512.2,0.0,29745.34,10147.3
126097,4551.06,0.0,43679.93,23715.0
126100,17790.41,26000.0,0.0,0.0
126148,3732.57,0.0,0.0,0.0
126181,3417.95,72460.0,0.0,0.0
126216,4969.53,62365.0,54003.67,8095.9
126219,6846.15,0.0,27750.14,11645.1
126239,7109.34,92423.0,48295.63,15952.4
126262,5720.77,41770.0,48616.16,0.0
126308,8838.09,82664.0,0.0,0.0
126424,16355.31,29439.0,27513.06,0.0
126466,14024.36,81872.0,38750.8,27824.4
126490,2486.43,0.0,65557.23,30179.6
126526,13113.14,28519.0,0.0,0.0
126581,10546.66,43922.0,45053.39,19710.8
126665,4825.26,0.0,47284.13,31481.1
127039,11274.91,0.0,57091.22,12365.8
127052,5619.85,66620.0,0.0,0.0
127127,7644.68,26526.0,43874.09,0.0
127128,5077.32,0.0,39523.42,16206.5
127137,2609.53,60798.0,53526.82,36940.0
127185,6846.15,0.0,40177.17,0.0
127241,5206.12,52629.0,5291.0,0.0
127279,11131.57,0.0,35467.82,5399.8
127289,2776.63,0.0,31793.99,26796.9
127311,7937.06,22862.0,35343.01,8895.8
127350,10614.64,16040.0,55586.14,0.0
127400,3914.72,0.0,40448.67,8162.4
127410,2701.49,76310.0,46775.29,0.0
127496,7482.64,25666.0,1107.0,0.0
127590,4582.9,66991.0,32769.19,4300.0
127645,2195.3,0.0,43138.43,15773.4
127663,2034.99,0.0,33504.4,11933.4
127725,2242.57,0.0,28418.81,4696.8
127785,2552.0,50201.0,41146.94,0.0
127827,7284.45,44605.0,32740.23,14223.3
127882,7716.44,0.0,30200.68,15220.9
127946,3746.75,41479.0,32446.94,8634.0
127966,2217.66,0.0,40313.62,0.0
128007,5160.25,87050.0,42615.21,24173.3
128032,2530.71,89451.0,20729.21,10622.0
128039,4474.48,84927.0,47562.0,10026.3
128041,8000.55,63834.0,32079.86,8641.0
128156,36470.3,0.0,49305.64,16150.7
128210,2175.62,0.0,34639.48,0.0
128245,5810.63,24860.0,3003.17,0.0
128280,3979.28,42633.0,28993.45,5081.0
128325,3336.22,19447.0,29832.11,8260.0
128405,23984.62,79655.0,0.0,0.0
128459,25807.06,71210.0,40530.4,15564.3
128467,8209.05,77282.0,57776.69,52556.5
128475,5561.29,92678.0,38957.42,12044.6
128534,8501.65,0.0,38605.03,13392.9
128572,4296.6,61737.0,7103.0,3335.0
128587,19834.2,65989.0,21245.15,12223.6
128611,9521.68,74583.0,38680.82,11853.7
128615,9079.82,20290.0,0.0,0.0
128633,3702.63,33738.0,41603.25,23028.8
128749,5977.41,25320.0,884.0,3700.0
128753,2395.57,21986.0,0.0,0.0
128754,5316.64,45856.0,11689.33,0.0
128789,2227.07,27972.0,33935.1,8111.1
128950,6031.52,49539.0,38515.55,8386.0
128975,15261.41,59797.0,38007.49,6387.8
129030,3580.08,71176.0,38364.51,20157.3
129071,8750.22,34695.0,0.0,0.0
129171,2719.51,14030.0,9751.0,4968.0
129328,7379.46,61584.0,0.0,0.0
129343,4463.0,0.0,43135.04,5557.5
129372,7200.66,0.0,54444.12,41014.8
129409,12036.62,44428.0,36901.1,10828.1
129429,4709.52,0.0,26975.74,11732.5
129434,4474.48,84927.0,40862.09,2880.0
129510,5510.11,61401.0,25187.35,0.0
129515,4820.7,27872.0,24880.68,0.0
129533,2858.29,81893.0,13493.34,13184.1
129555,2620.9,39278.0,60036.56,23108.3
129743,4574.52,99316.0,0.0,0.0
129817,2581.11,29757.0,25859.94,0.0
129827,16460.08,16869.0,36746.19,5502.0
129914,6005.03,23749.0,39357.07,19940.7
129976,6519.29,38795.0,58485.29,40307.8
130032,25640.24,24695.0,44235.53,0.0
130077,15956.52,61148.0,31436.39,3276.0
130086,2685.9,58166.0,30926.94,9292.9
130179,2129.06,0.0,2553.0,0.0
130208,12827.43,0.0,42190.51,0.0
130217,11624.82,0.0,8008.5,0.0
130326,5175.29,0.0,25231.53,5445.0
130331,2862.73,64640.0,34790.4,7044.0
130368,4591.63,83297.0,70269.12,5054.0
130419,3644.83,82477.0,48161.02,14293.8
130439,2678.06,72450.0,13750.97,0.0
130446,5907.15,0.0,39172.74,7642.0
130497,5928.75,40531.0,19214.0,0.0
130548,3265.16,25820.0,43082.21,15901.1
130593,8940.58,95351.0,40207.57,15637.1
130823,2656.0,31796.0,36154.46,4535.0
130953,4386.28,10621.0,42469.32,17680.3
131001,7659.72,0.0,40197.28,19939.5
131036,8016.75,82828.0,30477.71,0.0
131047,2647.52,37876.0,54255.83,8046.0
131098,16510.97,31356.0,37027.12,16450.2
131228,4476.81,0.0,20848.91,11468.7
131253,19327.87,57245.0,36560.25,6492.3
131257,2642.93,58729.0,27813.18,7028.1
131321,11763.15,28045.0,29398.31,10170.0
131342,10581.28,42513.0,54026.75,13743.2
131463,4128.09,32114.0,43855.41,0.0
131558,2706.61,22664.0,31890.36,24138.9
131560,14642.14,57561.0,31312.620000000003,22664.9
131637,3735.84,0.0,0.0,0.0
131673,3245.33,46435.0,40603.58,19165.8
131680,7805.31,21073.0,28311.91,3822.0
131717,11058.22,69792.0,0.0,0.0
131721,9886.66,44817.0,50899.9,8285.0
131761,7911.63,43916.0,32236.83,30808.8
131772,21435.88,20668.0,33775.08,4153.0
131815,5024.78,78772.0,39047.24,37836.3
131893,3589.37,30944.0,27779.32,6830.5
131956,3887.32,96335.0,4456.0,0.0
131990,31162.69,83170.0,25549.16,5068.0
131997,3744.58,0.0,36282.14,0.0
132045,7556.24,35257.0,18592.16,0.0
132209,2928.12,63127.0,42132.87,0.0
132296,2491.32,36631.0,32361.42,24375.1
132319,5274.43,44051.0,37268.61,12712.9
132320,4887.34,66707.0,26137.57,0.0
132337,5480.1,58651.0,35024.74,0.0
132552,2875.43,84768.0,13609.61,7991.0
132563,5955.54,0.0,0.0,0.0
132592,11430.59,93210.0,42584.84,5766.5
132705,7937.06,22862.0,49751.55,18526.7
132756,3238.0,60244.0,26779.74,5912.0
132774,2359.42,19864.0,47721.1,12579.4
132884,8561.56,37759.0,37632.07,20749.0
132914,7671.85,62582.0,32748.78,10554.0
132928,16887.8,53262.0,5860.77,0.0
132935,6595.1,0.0,46845.52,10942.1
133035,4236.81,0.0,31870.91,0.0
133065,6990.92,22568.0,29197.9,20155.2
133066,2269.84,0.0,45666.25,0.0
133128,2588.86,46168.0,29586.07,11811.7
133324,5759.91,85448.0,35264.49,12924.3
133429,16301.97,19614.0,42568.36,13409.5
