Loyalty#,Income,Days_in_prog,Location_cluster
104267,39141.0,285.0,1
104353,98713.0,1794.0,0
104431,25531.0,1516.0,0
104541,44988.0,2101.0,1
104586,74755.0,759.0,4
104673,38401.0,2252.0,1
104732,25998.0,1067.0,2
104739,22520.0,232.0,4
104849,42937.0,1764.0,4
104960,79751.0,2402.0,6
105063,18665.0,288.0,4
105073,0.0,281.0,1
105074,65351.0,1538.0,1
105145,0.0,2374.0,1
105193,82664.0,189.0,3
105214,77835.0,1968.0,2
105251,66933.0,1028.0,1
105335,28915.0,1534.0,2
105352,0.0,136.0,2
105552,62902.0,1128.0,3
105688,0.0,1655.0,2
105700,0.0,741.0,2
105712,0.0,1242.0,1
105789,0.0,2394.0,0
105835,56146.0,258.0,1
105841,31737.0,298.0,2
105921,61972.0,2297.0,4
105932,42460.0,892.0,6
105992,59848.0,747.0,1
106001,10037.0,2180.0,4
106037,86195.0,2100.0,2
106038,21841.0,851.0,2
106046,22724.0,261.0,4
106048,11885.0,45.0,2
106218,22828.0,1794.0,1
106397,0.0,2434.0,2
106444,0.0,375.0,2
106477,28738.0,1776.0,2
106509,30915.0,530.0,1
106589,25370.0,16.0,2
106592,29879.0,940.0,5
106616,30027.0,170.0,4
106623,62053.0,96.0,2
106637,74089.0,1710.0,4
106689,40516.0,563.0,1
106754,23576.0,2358.0,1
106757,0.0,1306.0,5
106776,25561.0,2193.0,3
106838,36580.0,803.0,2
106839,42602.0,1635.0,1
106936,48367.0,2246.0,1
106946,32169.0,1010.0,2
106964,0.0,122.0,3
106978,68401.0,2193.0,4
106979,74916.0,2383.0,4
107037,42191.0,582.0,5
107067,93872.0,1007.0,4
107119,82667.0,2083.0,4
107141,0.0,1949.0,0
107203,17489.0,1022.0,2
107212,25259.0,2144.0,2
107296,58149.0,526.0,4
107385,76506.0,421.0,2
107420,21921.0,243.0,1
107461,0.0,1407.0,2
107466,47823.0,716.0,3
107487,21073.0,615.0,4
107519,54507.0,242.0,4
107571,0.0,657.0,2
107649,85857.0,2426.0,5
107719,0.0,2364.0,2
107730,28773.0,394.0,6
107835,10275.0,113.0,1
107902,97321.0,1340.0,2
107993,28025.0,942.0,1
108264,39718.0,2164.0,0
108346,29834.0,243.0,5
108367,31278.0,245.0,1
108381,21947.0,1509.0,0
108430,24626.0,1996.0,0
108440,94263.0,2065.0,1
108462,43877.0,941.0,4
108481,39669.0,39.0,4
108528,28937.0,1695.0,1
108625,68086.0,980.0,2
108666,44428.0,1170.0,2
108857,77601.0,243.0,2
108896,91375.0,245.0,1
108907,0.0,873.0,2
109022,35605.0,2122.0,1
109023,13528.0,1257.0,3
109029,58643.0,73.0,0
109203,50825.0,1521.0,0
109399,0.0,14.0,5
109478,71663.0,1635.0,1
109495,69268.0,1822.0,4
109517,0.0,1318.0,1
109552,67588.0,1109.0,1
109612,0.0,326.0,3
109660,35695.0,1040.0,5
109767,78108.0,954.0,1
109840,66982.0,846.0,4
109896,0.0,1893.0,0
109903,35625.0,1905.0,0
109956,78460.0,245.0,1
110001,68144.0,26.0,0
110030,23156.0,363.0,4
110065,68956.0,278.0,2
110073,72117.0,22.0,1
110099,0.0,2186.0,7
110142,0.0,242.0,2
110170,29084.0,230.0,2
110211,44428.0,244.0,1
110262,27824.0,307.0,5
110296,0.0,1870.0,4
110394,68321.0,1887.0,0
110422,0.0,339.0,3
110476,74257.0,1741.0,1
110603,28909.0,28.0,2
110678,25927.0,927.0,1
110691,0.0,1321.0,2
110752,55645.0,2337.0,4
111022,0.0,2140.0,0
111034,25251.0,1743.0,1
111171,0.0,1414.0,2
111176,0.0,1650.0,5
111255,24732.0,2129.0,4
111286,32821.0,1985.0,2
111329,25748.0,855.0,4
111387,95733.0,557.0,4
111485,79867.0,1337.0,1
111507,36212.0,2277.0,4
111573,73222.0,1693.0,1
111584,11689.0,704.0,1
111646,48567.0,1154.0,1
111788,29560.0,834.0,2
111899,0.0,1637.0,0
111912,62229.0,937.0,1
112026,20942.0,1809.0,2
112142,83589.0,1253.0,0
112226,58089.0,1824.0,2
112393,0.0,1769.0,1
112522,24516.0,321.0,5
112632,0.0,19.0,4
112661,74935.0,1392.0,1
112678,0.0,1542.0,1
112709,11698.0,833.0,3
112732,48521.0,885.0,3
112733,63398.0,2166.0,2
112797,80277.0,243.0,4
112842,0.0,771.0,1
112856,20346.0,1662.0,2
112863,63288.0,891.0,2
112894,0.0,14.0,1
113040,46503.0,2187.0,2
113184,98879.0,138.0,1
113220,74217.0,2216.0,2
113293,49659.0,414.0,4
113316,38606.0,243.0,2
113363,34717.0,484.0,3
113442,71809.0,98.0,3
113476,47048.0,2051.0,6
113529,61006.0,185.0,1
113558,46750.0,1250.0,4
113578,37072.0,1419.0,2
113656,27750.0,613.0,4
113679,0.0,1806.0,1
113694,0.0,1556.0,0
113755,43334.0,2115.0,2
113779,24695.0,1746.0,4
113804,0.0,773.0,4
113831,21585.0,1054.0,1
113839,0.0,1190.0,1
113861,0.0,573.0,4
113864,65605.0,407.0,0
113874,0.0,324.0,1
113877,0.0,1837.0,1
113904,42961.0,1305.0,1
113919,40417.0,1124.0,0
114018,63878.0,2032.0,1
114021,76717.0,1562.0,5
114131,66429.0,269.0,5
114214,0.0,351.0,4
114219,56005.0,2346.0,0
114242,50217.0,898.0,2
114307,99654.0,2121.0,1
114399,0.0,184.0,2
114414,0.0,2246.0,1
114493,20676.0,988.0,1
114553,21975.0,2386.0,5
114638,0.0,2220.0,4
114700,16916.0,386.0,2
114743,38055.0,535.0,3
114835,19782.0,545.0,1
114857,34495.0,662.0,5
114903,36225.0,1910.0,2
114924,0.0,242.0,4
114927,21353.0,618.0,2
114983,11920.0,1913.0,2
115198,32714.0,2291.0,7
115322,23815.0,1881.0,1
115354,0.0,2327.0,3
115405,25816.0,1260.0,1
115427,87544.0,776.0,4
115505,94527.0,250.0,6
115529,19683.0,1519.0,2
115633,66022.0,2268.0,1
115705,54105.0,2111.0,4
115749,99494.0,194.0,2
115805,30324.0,1508.0,1
115852,37455.0,620.0,4
116016,33882.0,1921.0,2
116045,0.0,1701.0,4
116164,95241.0,417.0,2
116207,41460.0,244.0,4
116238,13663.0,169.0,0
116288,24825.0,520.0,1
116332,42090.0,2385.0,1
116372,87094.0,1363.0,4
116562,39778.0,193.0,2
116703,46370.0,1677.0,2
116732,55588.0,370.0,5
116735,82320.0,1152.0,2
116895,21159.0,262.0,1
116897,0.0,150.0,4
116932,70600.0,865.0,2
116948,75648.0,480.0,7
116999,31650.0,1474.0,3
117033,23550.0,1565.0,1
117053,58883.0,1522.0,2
117169,31756.0,1863.0,2
117219,51789.0,1549.0,1
117240,28181.0,376.0,1
117333,88680.0,2214.0,3
117342,20870.0,902.0,2
117351,89586.0,2266.0,0
117358,74422.0,33.0,1
117408,0.0,1080.0,0
117456,0.0,1112.0,5
117460,38595.0,1463.0,4
117482,21234.0,321.0,3
117618,23206.0,2372.0,6
117725,65870.0,197.0,5
117782,89918.0,1463.0,2
117832,0.0,84.0,4
117910,38279.0,1355.0,2
117915,60252.0,275.0,2
117932,67176.0,1503.0,1
117939,0.0,1256.0,4
117975,0.0,105.0,1
118076,91475.0,1292.0,4
118298,29628.0,130.0,4
118320,63357.0,1608.0,1
118332,23218.0,1167.0,5
118355,21986.0,514.0,4
118365,81082.0,2265.0,4
118376,0.0,243.0,2
118379,27354.0,1759.0,3
118418,25884.0,286.0,4
118511,89158.0,1039.0,0
118514,39770.0,75.0,1
118612,0.0,459.0,4
118628,20848.0,831.0,1
118632,0.0,807.0,1
118675,30090.0,752.0,1
118688,31572.0,1057.0,3
118729,33104.0,242.0,4
118864,0.0,873.0,1
119009,58268.0,2378.0,1
119015,52009.0,218.0,2
119135,49136.0,2188.0,2
119198,0.0,246.0,4
119200,51833.0,601.0,2
119408,0.0,46.0,2
119460,29808.0,1064.0,2
119488,0.0,551.0,4
119519,67467.0,1996.0,0
119633,29053.0,1759.0,6
119634,25905.0,297.0,0
119638,0.0,309.0,2
119690,55099.0,152.0,0
119731,46667.0,1487.0,1
119837,0.0,1477.0,2
119845,46168.0,1775.0,4
119917,20978.0,245.0,1
119997,24744.0,702.0,7
120046,33488.0,536.0,3
120126,0.0,508.0,1
120140,36510.0,1384.0,4
120164,0.0,1559.0,3
120192,45668.0,2112.0,2
120206,99845.0,615.0,2
120393,29735.0,1006.0,4
120434,90252.0,583.0,4
120554,0.0,1861.0,4
120583,0.0,2332.0,2
120594,41859.0,949.0,2
120613,0.0,18.0,4
120635,73716.0,243.0,4
120799,0.0,455.0,0
120868,56779.0,715.0,4
121068,57693.0,21.0,2
121095,51071.0,1760.0,2
121139,60880.0,914.0,2
121183,28848.0,1676.0,4
121236,86305.0,254.0,2
121351,42803.0,70.0,1
121410,46573.0,1729.0,4
121469,76875.0,215.0,1
121605,33190.0,1810.0,2
121710,73168.0,1772.0,4
121737,71943.0,778.0,1
121751,70082.0,159.0,1
121856,23665.0,622.0,0
121919,58419.0,439.0,2
121930,36495.0,80.0,5
121935,29950.0,1168.0,7
121999,31414.0,211.0,4
122009,21359.0,2230.0,4
122020,33963.0,1208.0,0
122049,19794.0,2345.0,2
122094,48039.0,1542.0,2
122166,56455.0,866.0,1
122173,69497.0,2266.0,1
122206,50071.0,243.0,1
122283,58518.0,1335.0,1
122357,78494.0,2044.0,4
122456,96610.0,695.0,5
122517,80797.0,244.0,2
122519,24626.0,285.0,3
122545,0.0,573.0,1
122561,89689.0,186.0,1
122577,41212.0,1514.0,3
122685,63583.0,796.0,1
122797,81139.0,270.0,1
122858,41479.0,237.0,4
122890,44897.0,1426.0,5
122946,95766.0,719.0,1
122958,24059.0,936.0,3
123083,67798.0,862.0,1
123094,82427.0,348.0,2
123115,64125.0,2337.0,2
123151,0.0,245.0,0
123164,0.0,1192.0,2
123344,73759.0,794.0,1
123393,94115.0,1944.0,2
123420,53351.0,1364.0,2
123525,46587.0,1446.0,0
123538,42303.0,243.0,1
123586,50397.0,1463.0,4
123667,58237.0,1990.0,3
123668,24392.0,1559.0,1
123697,0.0,1645.0,1
123702,44662.0,2186.0,0
123727,26900.0,230.0,3
123773,72878.0,2236.0,4
123780,0.0,13.0,3
123784,62464.0,2342.0,2
123908,0.0,2225.0,4
123928,28264.0,0.0,4
123944,26239.0,445.0,3
124038,43817.0,1451.0,1
124056,44428.0,784.0,6
124085,45025.0,420.0,3
124088,59207.0,669.0,2
124119,0.0,2229.0,1
124195,58713.0,210.0,2
124207,83488.0,89.0,1
124351,0.0,287.0,4
124355,52405.0,2137.0,1
124377,0.0,237.0,2
124536,29938.0,82.0,4
124678,18375.0,2026.0,3
124761,43922.0,1810.0,3
124931,50631.0,305.0,1
124987,60466.0,243.0,2
125059,36088.0,118.0,1
125068,26599.0,303.0,2
125300,76927.0,1016.0,2
125393,20656.0,1617.0,0
125493,30915.0,64.0,2
125606,26320.0,81.0,4
125919,56980.0,776.0,4
125969,26744.0,867.0,2
125996,0.0,1882.0,2
126097,0.0,1346.0,1
126100,26000.0,265.0,3
126148,0.0,245.0,2
126181,72460.0,829.0,0
126216,62365.0,2237.0,1
126219,0.0,1797.0,5
126239,92423.0,2284.0,4
126262,41770.0,1998.0,1
126308,82664.0,245.0,0
126424,29439.0,1376.0,4
126466,81872.0,2216.0,4
126490,0.0,1509.0,0
126526,28519.0,191.0,2
126581,43922.0,1308.0,4
126665,0.0,974.0,2
127039,0.0,1965.0,2
127052,66620.0,24.0,1
127127,26526.0,1347.0,4
127128,0.0,575.0,5
127137,60798.0,2114.0,2
127185,0.0,908.0,4
127241,52629.0,219.0,1
127279,0.0,1850.0,4
127289,0.0,1842.0,2
127311,22862.0,1770.0,5
127350,16040.0,1719.0,1
127400,0.0,1648.0,2
127410,76310.0,893.0,5
127496,25666.0,40.0,5
127590,66991.0,634.0,4
127645,0.0,987.0,2
127663,0.0,2260.0,2
127725,0.0,1344.0,1
127785,50201.0,1690.0,2
127827,44605.0,1852.0,1
127882,0.0,784.0,4
127946,41479.0,753.0,2
127966,0.0,1039.0,2
128007,87050.0,835.0,4
128032,89451.0,405.0,4
128039,84927.0,1568.0,0
128041,63834.0,732.0,1
128156,0.0,1487.0,1
128210,0.0,2240.0,1
128245,24860.0,244.0,1
128280,42633.0,785.0,1
128325,19447.0,452.0,0
128405,79655.0,245.0,4
128459,71210.0,1209.0,3
128467,77282.0,1529.0,2
128475,92678.0,1830.0,2
128534,0.0,2018.0,2
128572,61737.0,152.0,2
128587,65989.0,524.0,1
128611,74583.0,1751.0,3
128615,20290.0,2341.0,2
128633,33738.0,2019.0,1
128749,25320.0,107.0,0
128753,21986.0,54.0,1
128754,45856.0,1245.0,3
128789,27972.0,1449.0,5
128950,49539.0,1804.0,2
128975,59797.0,586.0,1
129030,71176.0,774.0,2
129071,34695.0,985.0,1
129171,14030.0,165.0,6
129328,61584.0,242.0,7
129343,0.0,2184.0,7
129409,44428.0,258.0,4
129429,0.0,744.0,2
129434,84927.0,896.0,3
129510,61401.0,2182.0,5
129515,27872.0,2394.0,4
129533,81893.0,291.0,1
129555,39278.0,1152.0,4
129743,99316.0,595.0,5
129817,29757.0,2284.0,1
129827,16869.0,1832.0,4
129914,23749.0,1276.0,2
129976,38795.0,924.0,4
130032,24695.0,294.0,3
130077,61148.0,2173.0,2
130086,58166.0,662.0,4
130179,0.0,77.0,4
130208,0.0,2123.0,2
130217,0.0,244.0,2
130326,0.0,1553.0,0
130331,64640.0,760.0,3
130368,83297.0,1901.0,1
130419,82477.0,1642.0,2
130439,72450.0,245.0,5
130446,0.0,330.0,2
130497,40531.0,332.0,1
130548,25820.0,1780.0,2
130593,95351.0,1619.0,4
130823,31796.0,2229.0,2
130953,10621.0,1081.0,1
131001,0.0,1310.0,4
131036,82828.0,935.0,4
131047,37876.0,849.0,2
131098,31356.0,2290.0,0
131228,0.0,506.0,3
131253,57245.0,2014.0,1
131257,58729.0,1545.0,4
131321,28045.0,1055.0,1
131342,42513.0,956.0,6
131463,32114.0,2072.0,2
131558,22664.0,580.0,3
131560,57561.0,2287.0,1
131637,0.0,245.0,1
131673,46435.0,744.0,2
131680,21073.0,1161.0,2
131717,69792.0,243.0,4
131721,44817.0,696.0,1
131761,43916.0,1565.0,2
131772,20668.0,1908.0,1
131815,78772.0,1874.0,4
131893,30944.0,2246.0,3
131956,96335.0,212.0,0
131990,83170.0,1410.0,1
131997,0.0,1973.0,1
132045,35257.0,498.0,5
132209,63127.0,2152.0,2
132296,36631.0,2184.0,4
132319,44051.0,1629.0,4
132320,66707.0,512.0,2
132337,58651.0,1812.0,1
132552,84768.0,415.0,1
132563,0.0,267.0,5
132592,93210.0,1054.0,1
132705,22862.0,1848.0,1
132756,60244.0,486.0,4
132774,19864.0,2361.0,4
132884,37759.0,2044.0,0
132914,62582.0,2095.0,4
132928,53262.0,245.0,2
132935,0.0,2123.0,4
133035,0.0,681.0,7
133065,22568.0,1525.0,2
133066,0.0,861.0,2
133128,46168.0,309.0,2
133324,85448.0,248.0,5
133429,19614.0,1790.0,4
133463,59253.0,762.0,2
133518,0.0,1141.0,1
133608,63329.0,2270.0,2
133698,59325.0,706.0,0
133730,74585.0,1900.0,1
133732,0.0,1924.0,1
133821,41059.0,1319.0,4
133859,42056.0,1822.0,2
133956,19715.0,256.0,0
134000,41854.0,181.0,2
134012,71868.0,138.0,1
134085,19168.0,2216.0,2
134148,0.0,596.0,4
134180,0.0,1575.0,1
134202,60021.0,1762.0,1
134241,73049.0,1594.0,3
134273,22520.0,1515.0,1
134279,63774.0,151.0,1
134397,48638.0,1481.0,2
134470,37541.0,761.0,2
134717,0.0,258.0,5
134738,81350.0,1200.0,2
134760,60817.0,1026.0,4
134827,96306.0,243.0,0
134847,62076.0,96.0,2
134857,19614.0,1401.0,1
135016,86277.0,1236.0,1
135076,75690.0,793.0,1
135134,58516.0,288.0,2
135250,76778.0,1954.0,0
135257,70190.0,283.0,1
135279,0.0,349.0,1
135312,72353.0,1263.0,4
135381,0.0,1384.0,3
135382,0.0,1069.0,1
135392,18577.0,1324.0,5
135421,80969.0,723.0,3
135554,85654.0,1622.0,2
135574,0.0,1353.0,3
135578,66267.0,2348.0,2
135635,0.0,491.0,2
135808,0.0,1962.0,1
135841,28204.0,9.0,4
135872,19592.0,686.0,1
135878,60475.0,1141.0,2
135977,50146.0,851.0,0
136020,43682.0,2172.0,4
136022,64125.0,2088.0,4
136049,39646.0,218.0,1
136065,69844.0,2362.0,2
136089,21440.0,1548.0,5
136106,22448.0,1849.0,4
136121,41104.0,1178.0,3
136169,63909.0,938.0,4
136230,16654.0,173.0,2
136232,0.0,1500.0,4
136334,66463.0,979.0,4
136345,80757.0,49.0,3
136430,0.0,2059.0,1
136464,62375.0,2232.0,1
136470,0.0,2082.0,0
136473,40352.0,296.0,2
136516,22166.0,1827.0,0
136547,82302.0,2304.0,5
136608,40921.0,486.0,1
136637,97321.0,2193.0,1
136715,97673.0,1359.0,2
136772,0.0,1772.0,4
136879,52228.0,286.0,3
136906,30335.0,1724.0,1
137020,0.0,130.0,4
137040,92711.0,739.0,1
137106,0.0,1960.0,2
137161,44577.0,277.0,1
137185,0.0,1845.0,5
137209,50180.0,128.0,3
137227,29194.0,626.0,4
137251,0.0,68.0,4
137383,55632.0,243.0,1
137529,92079.0,1734.0,1
137646,21206.0,2263.0,3
137744,31710.0,357.0,1
137751,48608.0,608.0,0
137845,77265.0,2023.0,5
137850,92766.0,2185.0,2
137852,29038.0,287.0,3
137858,0.0,243.0,2
137944,60596.0,28.0,6
137952,0.0,1990.0,0
137968,64502.0,354.0,1
137973,22627.0,339.0,1
137985,0.0,1369.0,2
137999,53133.0,2374.0,1
138025,35482.0,245.0,1
138065,0.0,243.0,2
138121,0.0,969.0,4
138204,0.0,909.0,4
138369,61894.0,2073.0,2
138421,49078.0,1108.0,1
138449,21342.0,18.0,1
138475,80358.0,2176.0,1
138565,70958.0,1719.0,2
138653,28806.0,111.0,1
138737,48911.0,861.0,2
138746,18505.0,2198.0,2
138759,0.0,76.0,4
138768,40105.0,1226.0,1
138777,55437.0,242.0,1
138810,44940.0,217.0,4
138853,0.0,478.0,3
138873,52408.0,1538.0,4
138894,78255.0,882.0,0
138896,61783.0,2113.0,4
138908,70360.0,1915.0,4
138981,21723.0,928.0,1
138993,41662.0,2009.0,1
139022,42148.0,445.0,2
139023,31930.0,299.0,0
139087,20090.0,1476.0,4
139135,0.0,647.0,4
139270,73795.0,554.0,2
139356,29505.0,244.0,4
139479,25550.0,243.0,1
139511,52082.0,2285.0,1
139518,34614.0,955.0,4
139532,25965.0,1329.0,2
139600,0.0,89.0,4
139682,25884.0,2432.0,6
139699,50809.0,126.0,1
139863,48263.0,1177.0,4
139932,76276.0,2123.0,2
139974,43597.0,39.0,2
140005,0.0,742.0,1
140042,75838.0,3.0,1
140077,12964.0,302.0,3
140079,30383.0,2258.0,1
140130,20983.0,1532.0,0
140191,29136.0,575.0,3
140208,26806.0,1372.0,4
140223,15818.0,243.0,1
140290,68205.0,1142.0,5
140375,25147.0,242.0,4
140381,23376.0,2374.0,2
140391,22050.0,1659.0,1
140392,88701.0,1987.0,2
140419,64125.0,896.0,4
140483,77646.0,1275.0,3
140534,14290.0,2166.0,1
140598,0.0,2079.0,0
140674,79619.0,1632.0,1
140735,16097.0,164.0,4
140750,0.0,1560.0,6
140768,28855.0,1880.0,5
140769,15741.0,14.0,1
140823,26436.0,854.0,0
140891,23916.0,979.0,1
140977,74001.0,629.0,3
141023,61567.0,1092.0,1
141043,0.0,245.0,3
141047,19064.0,1385.0,4
141139,37038.0,978.0,1
141181,63651.0,1128.0,2
141233,0.0,1549.0,5
141266,74015.0,675.0,2
141456,14973.0,354.0,1
141497,35127.0,293.0,5
141614,89285.0,1356.0,2
141655,74215.0,2149.0,4
141703,42968.0,994.0,1
141742,0.0,732.0,2
141844,32314.0,2260.0,2
141877,20484.0,1782.0,4
141945,41082.0,946.0,1
142122,76157.0,16.0,2
142190,49706.0,12.0,0
142224,0.0,795.0,2
142290,0.0,293.0,5
142354,31383.0,1255.0,4
142371,34498.0,1611.0,2
142434,57264.0,245.0,4
142511,46072.0,534.0,5
142545,51791.0,2070.0,3
142609,0.0,251.0,1
142621,22705.0,327.0,4
142649,27042.0,243.0,4
142686,42526.0,900.0,1
142715,62464.0,901.0,4
142717,85654.0,930.0,0
142726,91653.0,251.0,2
142749,46623.0,2215.0,1
142763,0.0,8.0,1
142800,32823.0,13.0,4
142812,0.0,1832.0,2
142855,98254.0,890.0,4
142906,20327.0,1948.0,4
142925,55350.0,124.0,0
142950,73536.0,2258.0,1
143087,79719.0,1393.0,2
143151,0.0,1049.0,1
143266,32823.0,98.0,0
143389,56457.0,1054.0,3
143422,58327.0,1602.0,1
143730,95766.0,2398.0,0
143784,60475.0,2176.0,4
143981,94310.0,1472.0,4
144261,72302.0,2232.0,6
144301,33257.0,245.0,1
144328,0.0,2143.0,4
144355,93715.0,2352.0,1
144402,0.0,613.0,1
144514,24204.0,933.0,5
144523,27849.0,1952.0,4
144565,26660.0,23.0,2
144593,41402.0,821.0,2
144615,61886.0,1230.0,4
144633,55483.0,2362.0,4
144641,79253.0,395.0,2
144695,28377.0,245.0,2
144702,43276.0,814.0,1
144756,76694.0,1278.0,5
144830,89410.0,2405.0,2
144879,51246.0,620.0,4
144936,69379.0,860.0,5
144977,55687.0,2270.0,2
145017,56070.0,59.0,4
145177,0.0,1758.0,4
145192,0.0,2417.0,1
145193,25370.0,114.0,4
145220,37970.0,1020.0,2
145292,29822.0,289.0,2
145322,52174.0,2218.0,1
145323,99241.0,1367.0,3
145449,36580.0,271.0,4
145480,26802.0,2067.0,3
145542,0.0,14.0,1
145552,17950.0,1192.0,3
145688,25147.0,361.0,1
145988,60964.0,874.0,4
146028,0.0,1663.0,4
146037,87197.0,599.0,2
146067,23554.0,2248.0,0
146086,52447.0,1129.0,3
146090,61108.0,327.0,4
146099,34498.0,322.0,3
146215,75952.0,1082.0,4
146354,89398.0,350.0,1
146400,60607.0,510.0,4
146527,64502.0,1359.0,2
146560,0.0,357.0,5
146572,40160.0,242.0,1
146702,54289.0,324.0,2
146760,0.0,1996.0,4
146839,20545.0,1443.0,2
147064,33232.0,2218.0,4
147241,37695.0,1317.0,1
147272,18577.0,2065.0,1
147408,62447.0,31.0,2
147602,0.0,1389.0,2
147700,22728.0,1091.0,2
147754,83869.0,800.0,3
147891,81531.0,1186.0,4
147898,19834.0,2329.0,4
147986,0.0,243.0,2
148111,25141.0,39.0,5
148201,0.0,1352.0,3
148208,79055.0,283.0,2
148216,39854.0,411.0,2
148234,82800.0,2402.0,2
148258,81883.0,544.0,1
148289,92949.0,326.0,0
148299,0.0,1658.0,0
148322,30449.0,407.0,2
148368,0.0,1018.0,5
148381,27750.0,2257.0,6
148382,20495.0,476.0,0
148453,0.0,156.0,2
148486,89092.0,552.0,0
148487,21514.0,1244.0,2
148570,27985.0,134.0,1
148677,22254.0,99.0,5
148690,52717.0,786.0,2
148749,25506.0,278.0,4
148753,0.0,1000.0,4
148766,23665.0,1051.0,4
148767,62587.0,2189.0,5
148810,48587.0,2382.0,1
148865,0.0,375.0,1
148942,0.0,1157.0,5
148982,0.0,260.0,2
149174,0.0,71.0,2
149225,79153.0,1259.0,3
149318,0.0,275.0,0
149348,0.0,1751.0,2
149426,0.0,612.0,1
149430,28215.0,243.0,2
149462,48096.0,2181.0,4
149542,78152.0,23.0,1
149549,77609.0,328.0,2
149655,43499.0,493.0,2
149782,31134.0,2053.0,1
149841,90783.0,243.0,1
149846,0.0,1221.0,4
149884,37229.0,567.0,4
149912,68261.0,333.0,4
149981,85607.0,528.0,0
149993,0.0,1163.0,4
150004,35504.0,2343.0,1
150074,58703.0,682.0,1
150134,31591.0,2180.0,5
150141,28909.0,187.0,6
150233,71210.0,245.0,5
150253,18263.0,1124.0,4
150291,52583.0,1863.0,2
150301,35868.0,2403.0,0
150383,23530.0,255.0,2
150596,57563.0,259.0,4
150656,94812.0,455.0,1
150671,67763.0,243.0,1
150751,51791.0,140.0,0
150754,0.0,1815.0,2
150767,0.0,8.0,3
150883,0.0,654.0,1
150909,0.0,1387.0,2
151010,39604.0,188.0,1
151030,23459.0,323.0,3
151036,58236.0,339.0,4
151183,0.0,1953.0,5
151327,0.0,1413.0,2
151399,59364.0,2265.0,0
151554,21114.0,812.0,3
151571,73945.0,362.0,6
151627,49419.0,695.0,1
151655,23402.0,2240.0,4
151967,23860.0,389.0,3
152007,70435.0,243.0,5
152014,41460.0,992.0,3
152016,29095.0,306.0,1
152139,66161.0,722.0,1
152148,76375.0,1718.0,2
152276,86355.0,1428.0,1
152307,52228.0,306.0,0
152338,0.0,1634.0,4
152355,89030.0,2398.0,1
152406,56869.0,1657.0,3
152423,59768.0,2330.0,2
152499,19794.0,243.0,2
152681,0.0,1743.0,1
152685,0.0,242.0,4
152740,62018.0,375.0,2
152778,73102.0,1352.0,4
152936,46503.0,2351.0,4
153003,65017.0,727.0,3
153072,19240.0,851.0,4
153075,72236.0,245.0,1
153146,25632.0,1266.0,5
153193,58166.0,2357.0,2
153261,0.0,735.0,3
